2016.0,1671.0,2973139.0
2017.0,1662.0,2973241.0
2016.0,1659.0,2973343.0
2017.0,1653.0,2973445.0
2019.0,1622.0,2973547.0
2020.0,1608.0,2973649.0
2020.0,1604.0,2973751.0
2020.0,1599.0,2973853.0
2022.0,1579.0,2973955.0
2023.0,1562.0,2974057.0
2023.0,1551.0,2974159.0
2023.0,1523.0,2974261.0
2025.0,1458.0,2974363.0
2025.0,1397.0,2974465.0
2027.0,1344.0,2974567.0
2027.0,1309.0,2974669.0
2027.0,1267.0,2974771.0
2028.0,1238.0,2974873.0
2027.0,1356.0,2974975.0
2026.0,1563.0,2975077.0
2024.0,1743.0,2975179.0
2027.0,1870.0,2975281.0
2025.0,1937.0,2975383.0
2025.0,1981.0,2975485.0
2025.0,2011.0,2975587.0
2024.0,2006.0,2975689.0
2024.0,1971.0,2975791.0
2024.0,1939.0,2975893.0
2022.0,1916.0,2975995.0
2022.0,1904.0,2976097.0
2021.0,1929.0,2976199.0
2022.0,1976.0,2976301.0
2022.0,1973.0,2976403.0
2021.0,1949.0,2976505.0
2021.0,1905.0,2976607.0
2022.0,1857.0,2976709.0
2023.0,1784.0,2976811.0
2024.0,1688.0,2976913.0
2024.0,1599.0,2977015.0
2023.0,1504.0,2977117.0
2025.0,1416.0,2977219.0
2024.0,1346.0,2977321.0
2026.0,1295.0,2977423.0
2025.0,1258.0,2977525.0
2026.0,1237.0,2977627.0
2025.0,1256.0,2977729.0
2025.0,1387.0,2977831.0
2025.0,1672.0,2977933.0
2025.0,1875.0,2978035.0
2024.0,1992.0,2978137.0
2016.0,2059.0,2978239.0
2015.0,2099.0,2978341.0
2016.0,2121.0,2978443.0
2016.0,2103.0,2978545.0
2016.0,2062.0,2978647.0
2023.0,2011.0,2978749.0
2023.0,1975.0,2978851.0
2022.0,1960.0,2978953.0
2023.0,1970.0,2979055.0
2021.0,2027.0,2979157.0
2015.0,2067.0,2979259.0
2023.0,2037.0,2979361.0
2024.0,1927.0,2979463.0
2024.0,1814.0,2979565.0
2025.0,1689.0,2979667.0
2026.0,1581.0,2979769.0
2027.0,1494.0,2979871.0
2029.0,1427.0,2979973.0
2027.0,1378.0,2980075.0
2027.0,1336.0,2980177.0
2029.0,1301.0,2980279.0
2028.0,1273.0,2980381.0
2028.0,1262.0,2980483.0
2029.0,1264.0,2980585.0
2030.0,1275.0,2980687.0
2028.0,1403.0,2980789.0
2027.0,1684.0,2980891.0
2027.0,1971.0,2980993.0
2019.0,2129.0,2981095.0
2017.0,2169.0,2981197.0
2020.0,2151.0,2981299.0
2017.0,2113.0,2981401.0
2018.0,2081.0,2981503.0
2025.0,2044.0,2981605.0
2024.0,2001.0,2981707.0
2023.0,1965.0,2981809.0
2025.0,1935.0,2981911.0
2023.0,1915.0,2982013.0
2023.0,1915.0,2982115.0
2026.0,1913.0,2982217.0
2024.0,1897.0,2982319.0
2024.0,1865.0,2982421.0
2026.0,1838.0,2982523.0
2026.0,1779.0,2982625.0
2027.0,1692.0,2982727.0
2027.0,1603.0,2982829.0
2027.0,1500.0,2982931.0
2028.0,1407.0,2983033.0
2028.0,1331.0,2983135.0
2029.0,1273.0,2983237.0
2029.0,1230.0,2983339.0
2029.0,1198.0,2983441.0
2032.0,1176.0,2983543.0
2029.0,1163.0,2983645.0
2032.0,1169.0,2983747.0
2030.0,1318.0,2983849.0
2029.0,1611.0,2983951.0
2029.0,1830.0,2984053.0
2028.0,1919.0,2984155.0
2028.0,1958.0,2984257.0
2026.0,1978.0,2984359.0
2025.0,1979.0,2984461.0
2024.0,1950.0,2984563.0
2026.0,1903.0,2984665.0
2026.0,1852.0,2984767.0
2026.0,1805.0,2984869.0
2025.0,1779.0,2984971.0
2026.0,1704.0,2985073.0
2026.0,1642.0,2985175.0
2029.0,1603.0,2985277.0
2028.0,1566.0,2985379.0
2028.0,1484.0,2985481.0
2028.0,1383.0,2985583.0
2027.0,1299.0,2985685.0
2029.0,1243.0,2985787.0
2028.0,1194.0,2985889.0
2030.0,1143.0,2985991.0
2032.0,1103.0,2986093.0
2032.0,1071.0,2986195.0
2032.0,1050.0,2986297.0
2030.0,1053.0,2986399.0
2029.0,1122.0,2986501.0
2028.0,1339.0,2986603.0
2028.0,1640.0,2986705.0
2026.0,1881.0,2986807.0
2026.0,2011.0,2986909.0
2017.0,2056.0,2987011.0
2025.0,2030.0,2987113.0
2026.0,1973.0,2987215.0
2025.0,1925.0,2987317.0
2026.0,1894.0,2987419.0
2025.0,1887.0,2987521.0
2026.0,1865.0,2987623.0
2025.0,1779.0,2987725.0
2027.0,1690.0,2987827.0
2026.0,1587.0,2987929.0
2027.0,1481.0,2988031.0
2027.0,1375.0,2988133.0
2028.0,1283.0,2988235.0
2028.0,1212.0,2988337.0
2028.0,1155.0,2988439.0
2029.0,1112.0,2988541.0
2030.0,1076.0,2988643.0
2029.0,1048.0,2988745.0
2028.0,1027.0,2988847.0
2029.0,1013.0,2988949.0
2029.0,1011.0,2989051.0
2029.0,1055.0,2989153.0
2028.0,1267.0,2989255.0
2025.0,1591.0,2989357.0
2027.0,1846.0,2989459.0
2024.0,1970.0,2989561.0
2025.0,2019.0,2989663.0
2024.0,2026.0,2989765.0
2024.0,1982.0,2989867.0
2024.0,1918.0,2989969.0
2025.0,1871.0,2990071.0
2023.0,1835.0,2990173.0
2024.0,1801.0,2990275.0
2024.0,1773.0,2990377.0
2023.0,1754.0,2990479.0
2021.0,1752.0,2990581.0
2023.0,1795.0,2990683.0
2022.0,1781.0,2990785.0
2023.0,1731.0,2990887.0
2024.0,1665.0,2990989.0
2023.0,1631.0,2991091.0
2022.0,1595.0,2991193.0
2023.0,1515.0,2991295.0
2025.0,1430.0,2991397.0
2024.0,1346.0,2991499.0
2025.0,1270.0,2991601.0
2026.0,1215.0,2991703.0
2026.0,1174.0,2991805.0
2027.0,1146.0,2991907.0
2027.0,1129.0,2992009.0
2026.0,1115.0,2992111.0
2025.0,1139.0,2992213.0
2025.0,1328.0,2992315.0
2024.0,1638.0,2992417.0
2023.0,1883.0,2992519.0
2023.0,2027.0,2992621.0
2015.0,2115.0,2992723.0
2015.0,2142.0,2992825.0
2015.0,2135.0,2992927.0
2015.0,2105.0,2993029.0
2014.0,2075.0,2993131.0
2024.0,2044.0,2993233.0
2023.0,2014.0,2993335.0
2021.0,1997.0,2993437.0
2022.0,1994.0,2993539.0
2022.0,2025.0,2993641.0
2014.0,2067.0,2993743.0
2021.0,2038.0,2993845.0
2022.0,1987.0,2993947.0
2024.0,1912.0,2994049.0
2024.0,1802.0,2994151.0
2023.0,1691.0,2994253.0
2023.0,1565.0,2994355.0
2024.0,1453.0,2994457.0
2025.0,1362.0,2994559.0
2026.0,1295.0,2994661.0
2025.0,1244.0,2994763.0
2024.0,1205.0,2994865.0
2025.0,1178.0,2994967.0
2026.0,1168.0,2995069.0
2025.0,1192.0,2995171.0
2025.0,1281.0,2995273.0
2025.0,1483.0,2995375.0
2025.0,1775.0,2995477.0
2022.0,2031.0,2995579.0
2016.0,2160.0,2995681.0
2014.0,2201.0,2995783.0
2015.0,2185.0,2995885.0
2013.0,2145.0,2995987.0
2015.0,2110.0,2996089.0
2015.0,2085.0,2996191.0
2013.0,2056.0,2996293.0
2021.0,2042.0,2996395.0
2013.0,2061.0,2996497.0
2013.0,2097.0,2996599.0
2020.0,2047.0,2996701.0
2020.0,1989.0,2996803.0
2021.0,1880.0,2996905.0
2022.0,1738.0,2997007.0
2023.0,1580.0,2997109.0
2022.0,1449.0,2997211.0
2022.0,1357.0,2997313.0
2022.0,1291.0,2997415.0
2021.0,1241.0,2997517.0
2023.0,1201.0,2997619.0
2022.0,1167.0,2997721.0
2023.0,1141.0,2997823.0
2024.0,1121.0,2997925.0
2023.0,1104.0,2998027.0
2024.0,1092.0,2998129.0
2024.0,1084.0,2998231.0
2023.0,1085.0,2998333.0
2024.0,1090.0,2998435.0
2024.0,1184.0,2998537.0
2022.0,1489.0,2998639.0
2022.0,1839.0,2998741.0
2012.0,2087.0,2998843.0
2013.0,2183.0,2998945.0
2013.0,2192.0,2999047.0
2015.0,2138.0,2999149.0
2012.0,2102.0,2999251.0
2013.0,2083.0,2999353.0
2012.0,2063.0,2999455.0
2019.0,2038.0,2999557.0
2017.0,2018.0,2999659.0
2019.0,1992.0,2999761.0
2019.0,1969.0,2999863.0
2019.0,1941.0,2999965.0
2020.0,1918.0,3000067.0
2019.0,1925.0,3000169.0
2019.0,2005.0,3000271.0
2018.0,2013.0,3000373.0
2017.0,1969.0,3000475.0
2019.0,1897.0,3000577.0
2020.0,1811.0,3000679.0
2022.0,1715.0,3000781.0
2022.0,1595.0,3000883.0
2022.0,1474.0,3000985.0
2021.0,1381.0,3001087.0
2021.0,1307.0,3001189.0
2023.0,1253.0,3001291.0
2022.0,1212.0,3001393.0
2022.0,1188.0,3001495.0
2024.0,1180.0,3001597.0
2022.0,1195.0,3001699.0
2023.0,1255.0,3001801.0
2020.0,1492.0,3001903.0
2020.0,1807.0,3002005.0
2020.0,2047.0,3002107.0
2012.0,2162.0,3002209.0
2012.0,2166.0,3002311.0
2012.0,2160.0,3002413.0
2012.0,2139.0,3002515.0
2012.0,2095.0,3002617.0
2012.0,2054.0,3002719.0
2020.0,2025.0,3002821.0
2018.0,2005.0,3002923.0
2018.0,1990.0,3003025.0
2019.0,1991.0,3003127.0
2018.0,2024.0,3003229.0
2019.0,2034.0,3003331.0
2019.0,1995.0,3003433.0
2019.0,1916.0,3003535.0
2019.0,1797.0,3003637.0
2021.0,1665.0,3003739.0
2023.0,1541.0,3003841.0
2022.0,1425.0,3003943.0
2023.0,1335.0,3004045.0
2023.0,1271.0,3004147.0
2023.0,1222.0,3004249.0
2024.0,1183.0,3004351.0
2025.0,1152.0,3004453.0
2025.0,1132.0,3004555.0
2024.0,1118.0,3004657.0
2025.0,1112.0,3004759.0
2027.0,1113.0,3004861.0
2025.0,1195.0,3004963.0
2023.0,1463.0,3005065.0
2021.0,1769.0,3005167.0
2024.0,2010.0,3005269.0
2014.0,2147.0,3005371.0
2013.0,2188.0,3005473.0
2013.0,2189.0,3005575.0
2012.0,2161.0,3005677.0
2013.0,2131.0,3005779.0
2013.0,2090.0,3005881.0
2012.0,2054.0,3005983.0
2020.0,2034.0,3006085.0
2020.0,2025.0,3006187.0
2019.0,2027.0,3006289.0
2019.0,2027.0,3006391.0
2019.0,2042.0,3006493.0
2018.0,2035.0,3006595.0
2020.0,1974.0,3006697.0
2020.0,1836.0,3006799.0
2022.0,1681.0,3006901.0
2022.0,1545.0,3007003.0
2020.0,1436.0,3007105.0
2022.0,1354.0,3007207.0
2021.0,1294.0,3007309.0
2023.0,1245.0,3007411.0
2022.0,1205.0,3007513.0
2024.0,1172.0,3007615.0
2024.0,1148.0,3007717.0
2024.0,1130.0,3007819.0
2023.0,1124.0,3007921.0
