2187.0,33243.0
2187.0,33345.0
2187.0,33447.0
2187.0,33549.0
2187.0,33651.0
2187.0,33753.0
2189.0,33855.0
2188.0,33957.0
2187.0,34059.0
2189.0,34161.0
2189.0,34263.0
2187.0,34365.0
2187.0,34467.0
2187.0,34569.0
2189.0,34671.0
2187.0,34773.0
2187.0,34875.0
2187.0,34977.0
2188.0,35079.0
2187.0,35181.0
2187.0,35283.0
2187.0,35385.0
2187.0,35487.0
2187.0,35589.0
2187.0,35691.0
2188.0,35793.0
2187.0,35895.0
2187.0,35997.0
2187.0,36099.0
2185.0,36201.0
2187.0,36303.0
2187.0,36405.0
2185.0,36507.0
2185.0,36609.0
2185.0,36711.0
2185.0,36813.0
2184.0,36915.0
2185.0,37017.0
2185.0,37119.0
2185.0,37221.0
2185.0,37323.0
2185.0,37425.0
2186.0,37527.0
2185.0,37629.0
2183.0,37731.0
2183.0,37833.0
2183.0,37935.0
2183.0,38037.0
2185.0,38139.0
2187.0,38241.0
2185.0,38343.0
2185.0,38445.0
2185.0,38547.0
2185.0,38649.0
2185.0,38751.0
2184.0,38853.0
2183.0,38955.0
2185.0,39057.0
2183.0,39159.0
2183.0,39261.0
2183.0,39363.0
2183.0,39465.0
2184.0,39567.0
2183.0,39669.0
2185.0,39771.0
2185.0,39873.0
2185.0,39975.0
2185.0,40077.0
2185.0,40179.0
2185.0,40281.0
2184.0,40383.0
2183.0,40485.0
2185.0,40587.0
2185.0,40689.0
2185.0,40791.0
2184.0,40893.0
2183.0,40995.0
2185.0,41097.0
2185.0,41199.0
2185.0,41301.0
2183.0,41403.0
2185.0,41505.0
2184.0,41607.0
2183.0,41709.0
2183.0,41811.0
2183.0,41913.0
2185.0,42015.0
2183.0,42117.0
2183.0,42219.0
2183.0,42321.0
2182.0,42423.0
2183.0,42525.0
2183.0,42627.0
2183.0,42729.0
2185.0,42831.0
2185.0,42933.0
2185.0,43035.0
2185.0,43137.0
2185.0,43239.0
2185.0,43341.0
2187.0,43443.0
2187.0,43545.0
2186.0,43647.0
2185.0,43749.0
2185.0,43851.0
2185.0,43953.0
2185.0,44055.0
2185.0,44157.0
2185.0,44259.0
2185.0,44361.0
2185.0,44463.0
2185.0,44565.0
2185.0,44667.0
2187.0,44769.0
2185.0,44871.0
2185.0,44973.0
2183.0,45075.0
2183.0,45177.0
2185.0,45279.0
2185.0,45381.0
2183.0,45483.0
2185.0,45585.0
2185.0,45687.0
2185.0,45789.0
2187.0,45891.0
2185.0,45993.0
2185.0,46095.0
2185.0,46197.0
2185.0,46299.0
2185.0,46401.0
2186.0,46503.0
2185.0,46605.0
2185.0,46707.0
2187.0,46809.0
2186.0,46911.0
2185.0,47013.0
2185.0,47115.0
2185.0,47217.0
2185.0,47319.0
2187.0,47421.0
2187.0,47523.0
2187.0,47625.0
2187.0,47727.0
2185.0,47829.0
2187.0,47931.0
2187.0,48033.0
2187.0,48135.0
2187.0,48237.0
2185.0,48339.0
2185.0,48441.0
2185.0,48543.0
2185.0,48645.0
2185.0,48747.0
2185.0,48849.0
2185.0,48951.0
2183.0,49053.0
2183.0,49155.0
2185.0,49257.0
2185.0,49359.0
2185.0,49461.0
2185.0,49563.0
2185.0,49665.0
2184.0,49767.0
2181.0,49869.0
2185.0,49971.0
2203.0,50073.0
2273.0,50175.0
2429.0,50277.0
2551.0,50379.0
2611.0,50481.0
2615.0,50583.0
2587.0,50685.0
2579.0,50787.0
